Gender,Education_Level,Preferred_Activities,Location,Favorite_Season,Pets,Environmental_Concerns,Preference,Proximity_to_Mountains,Proximity_to_Beaches,Vacation_Budget,Travel_Frequency,Income,Age
female,master,skiing,urban,fall,0,1,1,172,222,1851,9,107032,24
non-binary,high school,sunbathing,rural,spring,1,0,0,130,36,4897,5,76617,66
non-binary,high school,swimming,suburban,summer,1,0,0,122,66,2849,5,31778,49
non-binary,high school,swimming,urban,winter,0,0,0,241,119,2838,0,41896,25
male,high school,swimming,urban,winter,0,1,0,287,218,3342,3,91760,50
non-binary,bachelor,hiking,urban,winter,0,0,0,32,20,4331,0,48954,64
female,bachelor,sunbathing,urban,winter,0,1,0,9,244,2986,5,35922,69
male,bachelor,sunbathing,rural,spring,1,1,0,21,3,3050,4,115757,61
female,doctorate,sunbathing,rural,fall,0,1,0,142,97,2655,3,45956,32
non-binary,master,sunbathing,rural,summer,0,0,0,55,188,3356,8,96263,44
female,doctorate,skiing,urban,fall,1,1,1,62,116,3264,7,70926,47
male,master,skiing,urban,fall,1,1,0,229,9,3370,3,54480,39
non-binary,bachelor,sunbathing,suburban,summer,1,1,0,170,65,4285,9,80591,64
male,master,sunbathing,suburban,spring,1,1,0,104,135,2680,9,105191,46
non-binary,high school,skiing,urban,fall,0,1,0,225,140,3470,5,28586,58
male,master,swimming,rural,winter,0,1,0,226,253,2648,9,41820,65
male,high school,swimming,urban,summer,1,1,0,61,154,620,0,80501,47
female,bachelor,hiking,urban,winter,0,0,0,213,197,1426,1,117203,19
non-binary,high school,skiing,suburban,fall,0,0,1,205,297,1908,9,79250,32
non-binary,bachelor,skiing,rural,summer,1,0,1,125,142,1621,8,69184,64
non-binary,bachelor,swimming,urban,fall,1,1,0,115,244,4796,7,61321,44
male,doctorate,swimming,rural,spring,0,0,0,133,162,1096,7,20171,24
female,master,skiing,urban,summer,1,1,0,231,29,4667,9,90431,44
female,high school,sunbathing,suburban,fall,1,1,0,75,186,1239,5,47351,38
non-binary,bachelor,swimming,suburban,spring,1,0,0,198,139,3860,3,105854,30
non-binary,doctorate,skiing,urban,fall,0,0,0,96,56,1621,8,105638,34
male,high school,swimming,suburban,spring,1,1,0,168,297,4959,3,98258,28
male,bachelor,swimming,urban,fall,0,1,0,295,168,1994,4,83293,27
male,master,sunbathing,rural,summer,0,0,0,297,42,1853,6,112133,50
female,high school,hiking,suburban,winter,0,1,1,37,265,1960,3,92459,31
male,master,skiing,rural,summer,0,1,1,168,176,2512,1,101218,54
male,master,swimming,urban,fall,0,0,0,223,239,2986,6,65295,25
male,bachelor,sunbathing,rural,summer,1,0,0,21,89,2622,0,85103,50
non-binary,doctorate,skiing,urban,winter,0,1,1,107,208,4738,9,83765,24
male,high school,sunbathing,rural,fall,1,0,0,208,95,2276,6,92138,51
non-binary,master,sunbathing,rural,fall,0,0,0,264,153,3841,7,119238,24
female,high school,hiking,suburban,winter,0,0,1,94,199,2344,5,31405,24
female,bachelor,skiing,suburban,summer,0,0,1,50,291,3755,1,36617,58
non-binary,high school,hiking,suburban,summer,0,1,0,158,148,2513,0,36972,53
non-binary,doctorate,sunbathing,urban,summer,0,0,0,161,8,3251,4,54575,24
male,bachelor,sunbathing,suburban,winter,1,1,0,159,106,4859,9,61819,37
male,bachelor,skiing,urban,spring,0,0,1,177,182,2582,7,34918,35
female,high school,skiing,urban,winter,0,0,1,113,143,4831,7,30513,62
female,bachelor,swimming,urban,spring,1,0,0,199,4,4790,9,113518,60
female,bachelor,sunbathing,rural,fall,1,1,0,210,236,4128,3,46833,58
female,bachelor,skiing,suburban,fall,1,1,1,63,84,2717,2,60494,31
male,master,skiing,rural,winter,1,1,0,152,106,3514,8,115946,57
male,master,skiing,urban,winter,0,0,0,144,45,3300,6,105450,31
female,high school,sunbathing,urban,winter,1,0,0,18,203,3196,9,63570,38
male,master,hiking,suburban,winter,0,1,1,15,169,2279,4,51270,66
male,doctorate,hiking,urban,winter,1,1,0,289,245,1222,3,47280,44
non-binary,bachelor,skiing,suburban,fall,1,1,0,115,35,4222,8,89223,63
non-binary,master,skiing,urban,fall,1,0,1,214,290,2772,7,112219,43
female,master,hiking,urban,fall,0,1,1,141,172,3908,7,104741,44
female,high school,skiing,suburban,spring,0,0,1,77,292,3162,3,33869,41
female,bachelor,skiing,rural,spring,1,1,1,36,261,846,3,89920,22
female,high school,swimming,suburban,winter,0,1,0,144,145,4302,0,78708,59
female,bachelor,hiking,suburban,spring,0,0,1,31,204,2710,7,40596,55
male,doctorate,hiking,urban,winter,1,1,0,291,286,4243,1,87254,45
non-binary,high school,skiing,suburban,spring,1,0,0,157,95,536,0,50328,59
non-binary,bachelor,hiking,rural,spring,0,0,1,188,290,1486,8,67816,60
non-binary,master,swimming,urban,fall,0,1,0,271,152,2391,8,88768,49
male,bachelor,swimming,urban,summer,1,0,0,170,91,2691,2,76083,41
male,high school,swimming,rural,fall,0,0,0,132,194,2463,2,65718,23
male,doctorate,skiing,urban,fall,0,0,0,176,28,799,2,102383,27
non-binary,master,sunbathing,urban,fall,1,1,0,267,266,3940,5,79647,63
non-binary,high school,swimming,rural,spring,0,1,0,287,223,3359,7,58682,69
non-binary,bachelor,sunbathing,suburban,summer,0,1,0,91,198,3506,2,48942,20
non-binary,doctorate,sunbathing,urban,summer,0,1,0,19,122,2183,2,66931,24
non-binary,doctorate,hiking,urban,fall,1,0,1,49,191,2996,1,114009,46
male,high school,hiking,rural,summer,1,0,1,47,209,4457,3,70098,51
male,doctorate,skiing,rural,fall,1,1,0,219,3,507,2,28426,24
non-binary,master,swimming,rural,winter,1,1,0,6,103,2523,8,112731,34
male,high school,sunbathing,urban,winter,1,0,0,121,36,723,2,112903,30
non-binary,bachelor,sunbathing,urban,spring,0,1,0,184,269,3605,2,119711,38
non-binary,doctorate,skiing,urban,fall,1,0,1,211,222,4722,8,30145,48
non-binary,doctorate,skiing,suburban,fall,1,0,0,143,1,1112,4,59373,26
male,high school,hiking,suburban,fall,1,0,0,295,236,4698,8,25313,62
female,master,skiing,urban,spring,1,0,0,241,170,3368,1,106532,64
female,master,skiing,rural,winter,0,1,0,211,196,2246,9,107553,30
female,bachelor,sunbathing,rural,spring,1,1,0,52,229,1591,0,54529,34
female,master,sunbathing,rural,summer,0,1,0,162,180,4292,4,119074,25
female,doctorate,skiing,suburban,winter,0,1,1,211,251,1466,7,81589,26
male,doctorate,swimming,urban,winter,0,1,0,140,206,2855,4,39517,26
non-binary,bachelor,hiking,suburban,winter,1,0,1,77,197,1892,9,87440,57
female,doctorate,hiking,urban,summer,1,1,1,165,270,2948,8,61263,65
female,bachelor,hiking,rural,summer,0,1,0,272,158,2690,0,28153,69
female,high school,sunbathing,suburban,spring,1,1,0,93,102,3096,7,75427,47
non-binary,bachelor,swimming,rural,winter,0,1,0,292,78,3697,9,74756,24
female,doctorate,hiking,suburban,winter,1,1,0,31,10,4125,9,65856,34
male,high school,hiking,rural,winter,1,1,1,73,86,4795,7,51824,56
non-binary,master,skiing,suburban,fall,1,0,0,220,115,2457,6,80465,55
non-binary,master,swimming,rural,fall,1,1,0,54,159,4257,2,38546,22
non-binary,high school,sunbathing,urban,fall,0,1,0,245,298,4687,7,106791,34
non-binary,bachelor,swimming,suburban,winter,0,0,0,291,223,2895,5,102316,57
female,high school,skiing,rural,fall,0,0,0,252,57,4021,2,105273,18
female,high school,hiking,suburban,summer,0,0,0,279,51,3400,9,64466,33
male,master,swimming,suburban,fall,0,0,0,111,73,3057,2,41794,34
female,high school,swimming,suburban,fall,1,0,0,255,8,2463,1,101582,47
non-binary,doctorate,skiing,suburban,fall,0,0,0,253,217,1851,2,101131,48
male,high school,skiing,rural,spring,1,1,0,85,59,1072,7,98062,52
female,doctorate,hiking,rural,winter,1,1,1,78,254,3139,3,65032,62
non-binary,doctorate,swimming,urban,winter,1,0,0,219,171,2020,2,37343,25
male,bachelor,skiing,rural,summer,0,1,0,207,113,749,6,97416,65
male,doctorate,sunbathing,urban,spring,0,1,0,19,130,3027,5,89421,47
female,high school,sunbathing,suburban,spring,0,1,0,17,223,4931,6,33601,56
non-binary,master,sunbathing,urban,winter,1,0,0,4,93,1179,3,60638,38
female,master,hiking,urban,winter,1,1,1,244,287,3080,3,51479,32
male,master,swimming,suburban,winter,1,1,0,160,50,4451,2,106109,51
non-binary,bachelor,swimming,urban,fall,1,0,0,284,252,3754,8,38138,44
male,high school,skiing,urban,fall,1,1,0,51,31,4796,1,42442,19
male,master,skiing,rural,summer,1,0,0,87,27,4341,3,105212,27
non-binary,bachelor,hiking,rural,winter,0,0,1,218,229,1896,2,90774,22
female,high school,sunbathing,suburban,spring,0,0,0,56,176,4482,3,34487,44
male,bachelor,skiing,urban,spring,0,0,1,93,245,1531,6,97051,21
non-binary,master,skiing,urban,summer,0,1,1,143,166,3867,2,61771,64
female,bachelor,sunbathing,rural,summer,1,1,0,126,229,2566,4,54497,30
female,bachelor,swimming,suburban,fall,1,0,0,249,151,4700,3,37212,34
male,high school,hiking,suburban,summer,0,0,0,83,35,3115,8,90055,38
non-binary,master,skiing,suburban,winter,1,0,1,28,146,2142,5,45807,40
female,doctorate,hiking,urban,winter,1,0,1,163,294,569,9,67362,50
non-binary,doctorate,skiing,suburban,fall,0,0,0,259,121,844,1,67382,67
female,doctorate,sunbathing,rural,fall,1,1,0,207,174,4298,2,71543,32
non-binary,high school,hiking,suburban,fall,0,0,1,278,280,2445,3,115687,31
non-binary,high school,sunbathing,suburban,fall,1,0,0,103,210,2646,8,25821,26
non-binary,high school,hiking,suburban,summer,0,0,0,158,27,4748,4,61428,61
male,bachelor,swimming,suburban,winter,1,1,0,239,240,2524,3,115696,54
female,master,hiking,suburban,summer,1,0,1,94,273,601,2,98072,47
female,doctorate,sunbathing,urban,fall,1,1,0,72,112,1473,4,87965,46
male,high school,sunbathing,urban,spring,0,0,0,181,31,4562,8,69450,40
female,high school,swimming,urban,winter,0,1,0,105,218,2684,2,63339,51
female,bachelor,skiing,suburban,fall,1,1,0,44,40,4838,4,33528,24
male,master,swimming,urban,spring,0,1,0,189,32,3457,3,29525,26
male,bachelor,hiking,urban,fall,1,1,1,93,132,1386,4,80147,67
male,doctorate,hiking,suburban,fall,0,0,1,238,254,2750,6,107390,21
non-binary,high school,swimming,rural,winter,0,1,0,136,33,2896,5,103113,19
male,bachelor,hiking,urban,summer,1,1,1,252,283,2648,4,20029,44
non-binary,high school,swimming,suburban,summer,1,0,0,140,239,4941,3,21584,50
female,doctorate,swimming,rural,fall,1,1,0,47,12,1519,9,57480,49
male,doctorate,skiing,urban,fall,1,1,1,85,111,1524,3,119157,61
male,bachelor,skiing,urban,summer,1,0,1,236,275,2470,5,48302,62
male,doctorate,hiking,rural,summer,0,1,0,287,125,2586,2,79222,63
male,bachelor,skiing,suburban,winter,1,1,0,47,28,4402,6,100225,54
female,high school,skiing,suburban,winter,1,1,1,37,193,2509,4,81994,44
non-binary,master,skiing,urban,fall,1,1,0,25,15,759,7,95170,45
female,bachelor,swimming,suburban,spring,0,0,0,243,244,1832,5,54899,20
non-binary,high school,sunbathing,urban,fall,0,0,0,282,6,3452,3,37906,53
female,bachelor,skiing,suburban,summer,0,0,1,17,39,2594,7,30793,66
female,doctorate,swimming,urban,summer,1,0,0,57,252,1865,1,29819,68
female,master,swimming,rural,winter,0,0,0,32,43,1616,4,46015,60
male,master,swimming,suburban,summer,1,1,0,243,164,2694,9,29799,25
male,doctorate,sunbathing,urban,summer,1,0,0,101,82,2027,4,45647,61
non-binary,high school,swimming,suburban,winter,1,0,0,55,224,4335,1,111596,67
female,bachelor,skiing,rural,fall,0,0,1,228,270,743,9,103809,67
male,bachelor,hiking,urban,summer,1,1,1,53,61,3329,1,57102,58
female,doctorate,swimming,urban,winter,0,1,0,112,144,814,5,23736,54
female,bachelor,swimming,suburban,summer,1,0,0,10,264,4518,7,36586,66
non-binary,doctorate,skiing,urban,spring,1,0,0,123,16,3950,2,25375,62
non-binary,bachelor,sunbathing,suburban,winter,1,1,0,288,164,4990,9,54327,55
female,doctorate,sunbathing,urban,fall,1,1,0,220,143,2247,1,30691,39
female,high school,skiing,urban,spring,1,1,1,8,232,4577,5,23874,31
female,high school,skiing,rural,fall,0,1,1,22,95,2002,4,111555,32
non-binary,high school,skiing,urban,summer,0,0,1,11,191,1613,5,100065,63
non-binary,bachelor,skiing,urban,fall,1,0,0,258,57,1132,7,82119,21
male,high school,hiking,urban,fall,0,0,0,116,60,4469,5,37605,35
non-binary,doctorate,swimming,urban,winter,0,1,0,132,107,3359,3,75017,18
female,bachelor,skiing,urban,summer,0,1,0,148,28,1873,5,111187,29
female,bachelor,sunbathing,urban,summer,1,0,0,271,24,903,6,37228,58
non-binary,bachelor,swimming,rural,winter,0,1,0,18,228,3170,8,58698,59
male,master,sunbathing,rural,summer,0,1,0,207,147,1561,6,54515,67
non-binary,master,sunbathing,suburban,spring,1,0,0,238,84,2683,7,29978,34
non-binary,doctorate,hiking,rural,spring,1,0,0,172,17,4451,7,86967,36
female,bachelor,hiking,rural,summer,0,1,0,291,69,4066,0,73289,53
female,doctorate,hiking,suburban,summer,0,0,1,8,295,3233,1,96321,65
male,bachelor,swimming,urban,fall,0,1,0,237,23,3209,4,51190,24
female,bachelor,skiing,urban,winter,1,0,0,229,206,2623,8,112488,26
male,master,swimming,suburban,summer,0,1,0,115,19,1798,1,92190,25
non-binary,master,sunbathing,rural,fall,1,1,0,142,26,4145,8,82455,42
male,doctorate,skiing,urban,spring,1,0,0,288,141,4394,3,53105,24
non-binary,bachelor,swimming,urban,fall,0,0,0,40,179,1354,1,90563,59
non-binary,master,sunbathing,urban,summer,0,1,0,10,33,892,9,114480,25
female,high school,sunbathing,urban,summer,0,0,0,156,160,2754,6,97811,41
non-binary,high school,hiking,suburban,fall,0,1,0,282,6,4626,4,83742,34
non-binary,bachelor,skiing,urban,summer,1,0,1,243,273,1550,2,50213,29
male,high school,sunbathing,rural,spring,1,1,0,206,131,2309,5,64340,63
female,high school,skiing,rural,winter,1,1,0,231,27,4752,0,104574,48
female,master,hiking,suburban,summer,0,0,1,112,150,3218,2,22707,29
female,high school,hiking,suburban,summer,1,0,1,2,248,3988,4,28695,19
non-binary,bachelor,skiing,suburban,spring,1,1,0,168,115,2639,4,68630,29
non-binary,master,skiing,urban,spring,1,1,0,157,64,3316,5,82667,44
male,bachelor,skiing,urban,fall,0,1,0,186,97,1925,7,31450,63
female,doctorate,sunbathing,urban,winter,0,0,0,128,132,563,1,51370,24
female,doctorate,swimming,urban,summer,0,0,0,181,109,1996,3,62589,30
non-binary,high school,sunbathing,suburban,spring,0,1,0,47,276,1199,5,71313,53
male,doctorate,swimming,urban,fall,0,0,0,267,284,3962,4,83015,18
non-binary,high school,hiking,suburban,winter,1,0,0,215,13,3485,9,43245,66
female,bachelor,sunbathing,rural,summer,0,1,0,202,95,2228,8,67892,52
non-binary,bachelor,swimming,urban,winter,1,1,0,77,165,2295,8,50934,47
male,doctorate,hiking,suburban,winter,1,0,0,228,99,1300,7,114819,48
male,high school,swimming,suburban,spring,0,0,0,254,147,988,9,26852,34
non-binary,bachelor,skiing,rural,fall,0,1,0,152,114,1689,2,24589,25
female,high school,sunbathing,rural,spring,0,1,0,221,107,943,0,83277,20
non-binary,high school,skiing,suburban,spring,1,1,1,249,287,4406,6,55138,27
non-binary,doctorate,hiking,rural,spring,1,0,0,225,193,4968,1,53183,51
male,bachelor,sunbathing,rural,spring,0,1,0,126,264,1146,7,65059,39
non-binary,bachelor,swimming,urban,summer,1,0,0,96,283,2940,8,76179,21
male,high school,hiking,urban,summer,0,1,1,209,290,1454,7,90118,49
male,bachelor,hiking,suburban,spring,1,0,1,29,37,690,0,57497,46
non-binary,high school,skiing,suburban,summer,1,1,1,47,66,3609,1,44350,63
male,doctorate,hiking,suburban,summer,0,0,1,69,88,733,9,39785,28
non-binary,doctorate,sunbathing,rural,fall,1,0,0,230,55,1503,2,72412,63
female,doctorate,skiing,rural,winter,0,0,1,53,75,2072,6,108208,30
female,master,swimming,urban,fall,0,1,0,111,213,4828,4,111126,21
male,high school,swimming,rural,fall,1,0,0,50,257,3108,9,96852,19
female,doctorate,hiking,urban,winter,0,0,1,7,248,3085,8,104909,51
female,doctorate,skiing,suburban,winter,0,1,0,256,231,1128,5,55335,60
non-binary,high school,skiing,rural,fall,1,1,1,224,267,1564,8,50666,39
non-binary,bachelor,skiing,suburban,summer,0,1,0,154,135,4939,9,48487,22
female,high school,swimming,suburban,winter,1,0,0,167,2,1616,0,66237,26
female,high school,skiing,suburban,spring,1,0,1,60,187,3212,9,65557,37
non-binary,doctorate,sunbathing,suburban,summer,0,0,0,232,133,1277,0,24497,38
non-binary,high school,sunbathing,urban,spring,1,1,0,0,180,4865,5,94552,34
female,bachelor,skiing,urban,summer,1,1,0,205,38,2776,9,76839,29
male,doctorate,sunbathing,urban,fall,1,1,0,7,117,1765,0,30703,45
non-binary,master,hiking,urban,fall,0,0,1,210,291,1100,1,87609,35
non-binary,doctorate,sunbathing,urban,fall,1,1,0,213,195,4199,9,28340,20
female,high school,sunbathing,rural,winter,0,0,0,269,105,862,3,91727,22
female,bachelor,sunbathing,rural,summer,0,0,0,101,69,4213,1,100745,69
male,bachelor,swimming,rural,spring,0,0,0,95,103,644,9,47186,31
non-binary,doctorate,hiking,rural,spring,1,1,1,13,125,2577,3,46045,65
female,bachelor,swimming,suburban,spring,0,1,0,126,292,4403,0,40294,43
female,high school,skiing,rural,summer,1,1,0,217,115,1260,3,34378,36
male,bachelor,skiing,suburban,winter,1,0,1,1,255,2606,8,36001,58
male,high school,sunbathing,suburban,summer,0,1,0,289,106,2130,0,57437,34
non-binary,master,sunbathing,suburban,winter,1,0,0,131,134,4292,7,24099,56
female,master,skiing,suburban,summer,0,0,0,228,39,4198,3,82164,59
female,high school,swimming,urban,summer,1,1,0,173,181,1698,8,85290,21
non-binary,doctorate,hiking,urban,winter,0,0,1,5,93,3766,9,94800,59
male,high school,hiking,rural,fall,1,1,1,63,192,774,4,81434,52
non-binary,high school,sunbathing,suburban,summer,0,1,0,62,154,4620,8,66330,41
non-binary,doctorate,swimming,suburban,spring,1,0,0,122,273,3797,5,65131,58
non-binary,doctorate,hiking,suburban,spring,0,1,0,194,22,2153,8,108105,30
male,high school,swimming,rural,spring,0,0,0,236,88,2628,2,44907,50
male,doctorate,swimming,rural,spring,1,0,0,299,264,614,5,80315,32
female,high school,swimming,suburban,winter,1,0,0,182,114,792,4,36382,32
female,high school,sunbathing,urban,winter,0,1,0,295,143,3579,4,111441,48
non-binary,high school,hiking,rural,spring,1,0,0,188,105,3574,9,69640,60
female,bachelor,swimming,rural,summer,0,1,0,89,133,2468,3,71579,45
male,bachelor,skiing,suburban,spring,1,0,0,291,93,3344,1,105075,27
female,high school,hiking,urban,spring,1,0,0,242,202,875,9,76092,24
female,high school,swimming,urban,spring,1,1,0,39,225,3017,1,27463,50
male,bachelor,swimming,urban,summer,0,0,0,120,60,1261,2,46738,24
female,doctorate,hiking,urban,summer,0,0,0,100,10,2427,6,32084,22
male,doctorate,hiking,rural,spring,1,0,0,67,5,1011,4,57914,43
female,bachelor,skiing,rural,winter,1,0,0,182,42,4047,7,28928,33
female,doctorate,sunbathing,urban,winter,1,1,0,239,292,2366,3,49155,25
non-binary,high school,sunbathing,urban,summer,1,0,0,118,244,1258,6,85744,39
female,bachelor,sunbathing,rural,spring,1,1,0,84,54,2303,1,75231,51
non-binary,doctorate,sunbathing,rural,summer,0,1,0,150,197,3500,3,70282,57
female,bachelor,sunbathing,rural,winter,1,1,0,78,151,2018,2,88091,45
non-binary,bachelor,hiking,urban,spring,0,0,1,128,133,2185,8,112217,63
female,doctorate,hiking,rural,winter,1,1,0,293,267,2539,2,81294,53
male,high school,sunbathing,suburban,spring,0,1,0,71,158,890,8,75917,64
female,master,swimming,suburban,spring,0,0,0,275,132,4873,7,117671,24
male,high school,swimming,rural,fall,0,0,0,105,294,2205,8,24421,69
male,high school,skiing,urban,fall,1,1,0,115,10,3178,6,54491,57
non-binary,high school,sunbathing,suburban,summer,0,0,0,138,286,544,8,95001,60
male,master,skiing,suburban,winter,1,0,0,137,70,2508,2,93343,45
male,high school,hiking,suburban,winter,0,1,1,75,97,1393,7,90705,19
non-binary,doctorate,swimming,rural,winter,0,0,0,214,72,3548,7,97791,26
female,doctorate,skiing,suburban,spring,1,0,0,276,108,4771,1,80741,23
female,master,hiking,rural,winter,1,1,0,130,87,916,5,109051,18
male,high school,hiking,rural,summer,1,1,1,248,296,4432,5,82673,20
non-binary,high school,hiking,suburban,fall,1,1,0,126,11,886,4,113989,27
female,master,sunbathing,rural,winter,0,0,0,289,87,2885,7,76581,54
non-binary,high school,sunbathing,urban,winter,0,1,0,230,13,4369,1,62441,61
non-binary,doctorate,sunbathing,rural,fall,1,1,0,175,45,1250,3,65798,40
